,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
0,The Adele,"The Adele is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, and a garage.","310 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),2013,12 floors 136 units,www.adelenyc.com,,,
1,The Albert Chambers,The Albert Chambers is a  pre-war  mid-rise  doorman elevator  building.   The building's amenities include a laundry.,"25 East 10th Street,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1929,10 floors 53 units,,,,
2,The Archive,"The Archive is a  turn-of-the-century  mid-rise  landmark doorman elevator  building.   The building's amenities include a laundry. Built in the late 19th century in the Romanesque Revival style and originally intended as a cargo warehouse, the Archive was later converted to a storehouse for federal records before gaining the title of one of the largest commercial-to-residential conversion projects ever completed in the city (the conversion took about 12 years to complete). The massive building featuring double-heights arched windows dominates the primarily low-rise area and affords many of the residents unobstructed views of the city. This building takes up the entire block.    The apartments  have  high ceilings.","666 Greenwich Street,  New York, NY 10014","West Village,   Manhattan",7 no-fee ads,1896  (approximate),11 floors 479 units,www.rockrose.com,Rockrose Development LLC,212-847-3700,
3,Avalon Bowery Place I,Avalon Bowery Place I is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a gym and a garage.,"11 East 1st Street,  New York, NY 10003","East Village,   Manhattan",7 no-fee ads,2006  (approximate),9 floors 206 units,,"AvalonBay Communities, Inc.",212-370-9269  212-370-1511 fax,
4,Avalon Bowery Place II,Avalon Bowery Place II is a  modern  mid-rise  doorman elevator  building.   The building's amenities include a laundry and a gym.,"22 East 1st Street,  New York, NY 10003","East Village,   Manhattan",3 no-fee ads,2007,7 floors 90 units,,"AvalonBay Communities, Inc.",212-370-9269  212-370-1511 fax,
5,Barclay Tower,"Barclay Tower is a  modern  high-rise  doorman elevator  building.   The building's amenities include a laundry, a gym, a pool, a garage, and a children's play room. Public spaces furnished and decorated by designer John Saladino.   The apartments  have  high ceilings (9' 0"" - 11' 0"").","10 Barclay Street,  New York, NY 10007","TriBeCa,   Manhattan",9 no-fee ads,2006,58 floors 396 units,,Glenwood Management,,212-430-5900
6,Bloom 62,Bloom 62 is a  post-war  mid-rise  doorman elevator  building.   The building's amenities include a gym.,"62 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1970,6 floors 81 units,,,,
7,Bloom 62,Bloom 62 is a  post-war  mid-rise  doorman elevator  building.   The building's amenities include a gym.,"62 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1970,6 floors 81 units,,,,
8,CD 280,"“Between Avenues C and D at Houston Street in the East Village, CD280 offers studio and one-bedroom apartments. Located between Avenues C and D at Houston Street in the East Village, CD280 contains studio and one bedroom apartments which feature 9 foot ceilings, unobstructed views of the Manhattan skyline and open kitchens with birch wood shaker cabinets and built-in dining counters. Top floor residences have wood-burning fireplaces and skylights. CD280 offers its residents a totally unique Manhattan amenity – an on-site, outdoor running track and a private large, landscaped and furnished back yard. Another welcomed feature is a fitness center, which directly adjoins the building laundry room so residents can exercise while completing a necessary chore. The lobby features a soothing stone sculptured waterfall designed exclusively for CD280 by a Vermont artist.	 ”","280 East 2nd Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),1997,11 floors 102 units,www.cd280nyc.com,Manhattan Skyline Management Corp.,,347-449-3848
9,The Charlotte,"“The Charlotte at Christopher Street is a beautiful prewar building located between Bedford and Bleecker Streets in the heart of the West Village. Situated within the Greenwhich Village Historic District, The Charlotte is located in one of the most historically significant and charming areas of New York City. Located steps from the 1 Subway and PATH trains, The Charlotte is also situated in one of the most vibrant and trendy areas of the city, near some of the greatest restaurants, nightlife and shopping that Manhattan has to offer. ”","102 Christopher Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 37 units,,,,
